horse_id,age_year,n_races,age_year_factor,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid
212,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
223,6,22,6,1.7953281963316923,2.5420675463129587,0.0011898270413294807,1.0045484075671096,0.008919672347503425,2.5435812075470134
224,7,1,7,1.855628578342374,-1.8088216504406096,0.002220902567361725,1.0051186911225929,0.0017218614373184346,-1.810833610660933
297,5,16,5,1.7350278143210105,1.8994680285754588,5.77664257671458e-4,1.005059554963307,0.001996033566565762,1.9000168937761148
299,4,14,4,1.6747274323103287,1.7194471418850237,3.602756470092992e-4,1.005176145801994,9.650577185271284e-4,1.7197569630690785
299,5,15,5,1.7350278143210105,1.7546290450526167,5.77664257671458e-4,1.00515417977555,0.001628316133422462,1.7551360579680233
356,7,1,7,1.855628578342374,-1.8088216504406096,0.002220902567361725,1.0051186911225929,0.0017218614373184346,-1.810833610660933
369,8,1,8,1.9159289603530558,-1.8697538790225892,0.0036940697636746412,1.0050776247171882,0.0029945515631688425,-1.8732169773116942
371,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
381,5,17,5,1.7350278143210105,2.039251169107414,5.77664257671458e-4,1.0049611105650076,0.0024011551936445772,2.0398404256704525
391,6,1,6,1.7953281963316923,-1.747761461523732,0.0011898270413294807,1.0051581452479066,8.809121391467805e-4,-1.7488021572261419
391,4,14,4,1.6747274323103287,1.7194471418850237,3.602756470092992e-4,1.005176145801994,9.650577185271284e-4,1.7197569630690785
391,5,15,5,1.7350278143210105,1.7546290450526167,5.77664257671458e-4,1.00515417977555,0.001628316133422462,1.7551360579680233
393,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
393,6,1,6,1.7953281963316923,-1.747761461523732,0.0011898270413294807,1.0051581452479066,8.809121391467805e-4,-1.7488021572261419
400,4,14,4,1.6747274323103287,1.7194471418850237,3.602756470092992e-4,1.005176145801994,9.650577185271284e-4,1.7197569630690785
402,3,20,3,1.614427050299647,2.6952004616820595,5.126706404731272e-4,1.0044057227103595,0.004524156311022866,2.695891602512572
408,6,1,6,1.7953281963316923,-1.747761461523732,0.0011898270413294807,1.0051581452479066,8.809121391467805e-4,-1.7488021572261419
408,4,14,4,1.6747274323103287,1.7194471418850237,3.602756470092992e-4,1.005176145801994,9.650577185271284e-4,1.7197569630690785
423,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
459,4,15,4,1.6747274323103287,1.872656333662168,3.602756470092992e-4,1.0050777741407624,0.0012007266463899104,1.8729937610761838
462,9,18,9,1.9762293423637376,1.68166250052383,0.005631454526006269,1.0051964355739684,0.014350842202553794,1.6864176969297788
466,4,17,4,1.6747274323103287,2.162590806239087,3.602756470092992e-4,1.0048686169585763,0.0017492262429491484,2.162980475934592
466,5,19,5,1.7350278143210105,2.3054209239875116,5.77664257671458e-4,1.0047543046942513,0.0033236110296087583,2.3060870922509435
473,6,1,6,1.7953281963316923,-1.747761461523732,0.0011898270413294807,1.0051581452479066,8.809121391467805e-4,-1.7488021572261419
477,4,15,4,1.6747274323103287,1.872656333662168,3.602756470092992e-4,1.0050777741407624,0.0012007266463899104,1.8729937610761838
479,4,15,4,1.6747274323103287,1.872656333662168,3.602756470092992e-4,1.0050777741407624,0.0012007266463899104,1.8729937610761838
492,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
493,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
511,6,17,6,1.7953281963316923,1.9169086650092912,0.0011898270413294807,1.0050472514934454,0.004210795231859659,1.9180500785565657
525,8,1,8,1.9159289603530558,-1.8697538790225892,0.0036940697636746412,1.0050776247171882,0.0029945515631688425,-1.8732169773116942
559,4,16,4,1.6747274323103287,2.020189335922169,3.602756470092992e-4,1.0049751058937086,0.0014621161545305837,2.020553346793352
566,3,18,3,1.614427050299647,2.4272013274031012,5.126706404731272e-4,1.0046512887164178,0.003396398189661963,2.427823744163966
581,3,13,3,1.614427050299647,1.6730929183650087,5.126706404731272e-4,1.0052041770884963,0.0012831130276624238,1.6735219561473789
582,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
582,3,16,3,1.614427050299647,2.1418238175694486,5.126706404731272e-4,1.0048844739411558,0.0024300366720502523,2.142373053855629
586,5,17,5,1.7350278143210105,2.039251169107414,5.77664257671458e-4,1.0049611105650076,0.0024011551936445772,2.0398404256704525
592,4,15,4,1.6747274323103287,1.872656333662168,3.602756470092992e-4,1.0050777741407624,0.0012007266463899104,1.8729937610761838
601,4,18,4,1.6747274323103287,2.300325637184441,3.602756470092992e-4,1.0047587077015718,0.002062056911645605,2.3007401248387946
645,5,1,5,1.7350278143210105,-1.6865981981194158,5.77664257671458e-4,1.0051960330294232,4.0771243264544233e-4,-1.687085553023268
645,4,16,4,1.6747274323103287,2.020189335922169,3.602756470092992e-4,1.0049751058937086,0.0014621161545305837,2.020553346793352
